Tweet Id,Text,Name,Screen Name,UTC,Date,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
"1,4153674978812E+018",RT @Jorxrubio : ‘Ley de pandemias’. https://t.co/tUibfwbMvE,Andrés ?,dedes_fs,2021-07-14T17:48:02.000Z,Wed Jul 14 17:48:02 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1415363352663109635/pu/vid/640x360/SY3yxZ57BFEQe5q6.mp4?tag=12,,,
"1,41535555185745E+018","RT @ccanino : Ante la inevitable memoria selectiva que le entrará a muchos, recuerdo que ningún partido objetó a la idoneidad legal del Estado de Alarma para ordenar el confinamiento domiciliario. https://t.co/sjBzw5g3G1",Andrés ?,dedes_fs,2021-07-14T17:00:34.000Z,Wed Jul 14 17:00:34 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/E6QsgoPWQAgsbJo.jpg,,,
"1,41535426442008E+018",RT @Currikitaum : ¿De qué sirve una “ley de pandemias” si el problema es que la Constitución solo permite las medidas que se necesitaban adoptar si se declara antes el estado de excepción? https://t.co/zRTuNCdHqr,Andrés ?,dedes_fs,2021-07-14T16:55:27.000Z,Wed Jul 14 16:55:27 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://twitter.com/anapastorjulian/status/1415324661894758402 ,0,0,,,,,
"1,4153204093235E+018","RT @peiboletgr : Yo soy jurista y debo confesar que, tras meses debatiendo esto, sigo sin tener claro dónde está la raya que separa ""limitar"" de ""suspender"" Derechos Fundamentales. A tenor de lo ajustado de la votación del TC me parece que sigue siendo un tema jurídicamente controvertido.",Andrés ?,dedes_fs,2021-07-14T14:40:55.000Z,Wed Jul 14 14:40:55 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
"1,41531923547627E+018",RT @Currikitaum : La nueva foto de perfil de @mjmonteroc me reafirma en que siempre ha sido de mis ministras preferidas.,Andrés ?,dedes_fs,2021-07-14T14:36:15.000Z,Wed Jul 14 14:36:15 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,1,,,,,
"1,41487803304822E+018","RT @roberalvarezp : El debate de la semana pasada fue si matar a alguien al grito de maricón es homofobia.

Esta semana se pone en duda que sea abuso sexual correrse dentro sin permiso 

Y mientras tanto hay un partido haciéndote creer que los chavales no necesitan charlas educativas",Andrés ?,dedes_fs,2021-07-13T09:23:04.000Z,Tue Jul 13 09:23:04 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
"1,41467574208915E+018","@victoriatravi CHAMA ME MUEROOOOO, pero luego seguro que es un ??????",Andrés ?,dedes_fs,2021-07-12T19:59:14.000Z,Mon Jul 12 19:59:14 +0000 2021,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41467523890281E+018",@victoriatravi OAKXJXJQMIXJNXNCKSKWJCHN,Andrés ?,dedes_fs,2021-07-12T19:57:15.000Z,Mon Jul 12 19:57:15 +0000 2021,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41467458240192E+018",@victoriatravi DIOOOOS QUÉ MALITO ESTÁ,Andrés ?,dedes_fs,2021-07-12T19:54:38.000Z,Mon Jul 12 19:54:38 +0000 2021,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41467421519899E+018","RT @mianrey : ? 1 de cada 2 españoles mayores de 12 años ha recibido la pauta completa de la vacuna contra el coronavirus (51,7%)",Andrés ?,dedes_fs,2021-07-12T19:53:10.000Z,Mon Jul 12 19:53:10 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
"1,41467414356861E+018",@victoriatravi es que Italia es igual de circo que España amo,Andrés ?,dedes_fs,2021-07-12T19:52:53.000Z,Mon Jul 12 19:52:53 +0000 2021,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41437388113827E+018","@antoexpresso SHE DIDN'T ASK TO BE BORN LATINA, NOMAS TUVO SUERTE ??????",Andrés ?,dedes_fs,2021-07-11T23:59:45.000Z,Sun Jul 11 23:59:45 +0000 2021,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41437358762086E+018",@antoexpresso es que literalmente es el vídeo más real y representativo de la historia lo amoooo,Andrés ?,dedes_fs,2021-07-11T23:58:35.000Z,Sun Jul 11 23:58:35 +0000 2021,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41437307809692E+018",@antoexpresso ES QUE ESTE VIDEO ES LITERALMENTE TODO,Andrés ?,dedes_fs,2021-07-11T23:56:34.000Z,Sun Jul 11 23:56:34 +0000 2021,1,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
"1,41437295494376E+018","ES MI AMIGA Y ES ITALIANA Y ARGENTINA CUIDAUUU ??????????, perquè io amo Mascerata https://t.co/aa3cdd8EEw",Andrés ?,dedes_fs,2021-07-11T23:56:04.000Z,Sun Jul 11 23:56:04 +0000 2021,2,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/antoexpresso/status/1414372514344620034 ,0,0,,,,,
